,Adjusted net savings,,,,,,,,,Adolescent fertility rate (women aged 15-19 years),,,,,,,,,Adult literacy rate (both sexes),,,,,,,,,Carbon dioxide emissions per capita,,,,,,,,,Combined gross enrolment ratio in education (both sexes),,,,,,,,,Expenditure on education (% of GDP),,,,,,,,,"Expenditure on health, public (% of GDP)",,,,,,,,,Gender Inequality Index (updated),,,,,,,,,"Gender Inequality Index, value",,,,,,,,
,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010
Country,(% of GNI),(% of GNI),(% of GNI),(% of GNI),(% of GNI),(% of GNI),(% of GNI),(% of GNI),(% of GNI),"(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)",(% aged 15 and above),(% aged 15 and above),(% aged 15 and above),(% aged 15 and above),(% aged 15 and above),(% aged 15 and above),(% aged 15 and above),(% aged 15 and above),(% aged 15 and above),(tonnes),(tonnes),(tonnes),(tonnes),(tonnes),(tonnes),(tonnes),(tonnes),(tonnes),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,..,..,-39.4,-8.2,-5.4,-2.1,-0.1,..,..,..,..,..,..,..,..,33.8,..,..,..,..,98.8,99.5,99.5,99.5,99.5,99.5,99.5,..,5.9,3.8,4.2,4.2,..,..,..,..,74,72.1,..,66.2,66.2,66.2,66.2,66.2,66.2,..,7.7,3.9,2.3,2,1.7,1.9,..,..,..,..,..,0.9,0.9,1,..,..,..,..,..,..,..,..,..,0.504,..,..,..,..,..,..,..,..,0.553,..,..
Bahamas,..,20.6,22.9,..,..,..,..,..,..,..,..,..,..,..,..,53,..,..,..,..,..,..,..,..,..,..,..,..,7.6,5.9,6.5,6.5,..,..,..,..,72.5,74,67.5,72.4,71.8,71.8,71.8,71.8,71.8,4.5,4,3.6,..,..,..,..,..,..,..,..,..,3.2,3.4,3.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,..,-24.9,-8.1,9.8,13.3,18.1,15.6,..,..,..,..,..,..,..,..,16.7,..,..,69.8,84,86.5,87.9,88.3,88.8,89.2,89.6,90,..,24.1,30.4,27.2,28.8,..,..,..,..,61.2,82.2,82.2,87.2,90.4,90.4,90.4,90.4,90.4,..,..,..,..,3.4,3,2.9,..,..,..,..,..,2.6,2.5,2.6,..,..,..,..,..,..,..,..,..,0.477,..,..,..,..,..,..,..,..,0.512,..,..
Bangladesh,..,7.2,16.2,20.1,23.1,24.1,23.7,..,..,..,..,..,..,..,..,71.6,..,..,29.2,35.3,47.5,51.5,52.5,53.5,54.5,55.5,56.5,..,0.1,0.2,0.3,0.3,..,..,..,..,29.9,34.7,54,52.1,52.1,52.1,52.1,52.1,52.1,0.9,1.6,2.4,..,2.5,2.6,2.4,..,..,..,..,..,1.1,1.2,1.1,..,..,..,..,..,..,..,..,..,0.712,..,..,..,..,..,..,..,..,0.734,..,..
Barbados,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.7,..,..,..,..,..,..,..,..,..,..,..,..,4,4.1,4.5,4.6,..,..,..,..,66.4,71.4,83.7,83.9,83.9,92.9,92.9,92.9,92.9,6.3,6.8,5.6,6.9,..,6.9,6.7,..,..,..,..,..,4.5,4.6,4.4,..,..,..,..,..,..,..,..,..,0.541,..,..,..,..,..,..,..,..,0.448,..,..
Belarus,..,17.7,13.6,22.4,21,19.3,19.8,..,..,..,..,..,..,..,..,21.3,..,..,..,97.9,99.6,99.7,99.7,99.7,99.7,99.7,99.8,..,9.6,5.9,6.6,7.1,..,..,..,..,77.9,80.2,87.5,88.9,89.5,90.4,90.4,90.4,90.4,..,4.8,6.2,5.9,6.1,5.2,..,..,..,..,..,..,5,4.8,4.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,..,13.9,12.6,13.6,15,15.8,..,..,..,..,..,..,..,..,..,7.7,..,..,..,..,..,..,..,..,..,..,..,..,10.8,11.5,10.5,10.3,..,..,..,..,74.5,81,108.1,94.1,94.3,94.3,94.3,94.3,94.3,5.7,4.8,..,6,6,6.1,..,..,..,..,..,..,7.4,7.2,7,..,..,..,..,..,..,..,..,..,0.236,..,..,..,..,..,..,..,..,0.236,..,..
Belize,..,33.5,6.6,-1.7,8.3,7.2,8.8,..,..,..,..,..,..,..,..,78.7,..,..,..,70.3,70.3,75.1,75.1,75.1,75.1,75.1,75.1,..,1.7,2.8,3,2.9,..,..,..,..,65.8,67.7,70.6,80.4,78.3,78.3,78.3,78.3,78.3,2.4,4.6,5,..,..,5.1,..,..,..,..,..,..,2.1,2.2,2.6,..,..,..,..,..,..,..,..,..,0.632,..,..,..,..,..,..,..,..,0.6,..,..
Benin,..,-2.6,2.6,4.5,3.8,2.5,..,..,..,..,..,..,..,..,..,111.8,..,..,16.5,27.2,34.7,38.9,39.7,40.5,41.4,42.2,43,..,0.1,0.2,0.3,0.4,..,..,..,..,32,27,39.7,51.1,52.4,52.4,52.4,52.4,52.4,..,..,3.1,..,3.9,3.6,..,..,..,..,..,..,2.4,2.4,2.5,..,..,..,..,..,..,..,..,..,0.731,..,..,..,..,..,..,..,..,0.759,..,..
Bhutan,..,..,26.3,32.7,35.1,35.3,50.4,..,..,..,..,..,..,..,..,38.3,..,..,..,..,..,52.8,52.8,52.8,52.8,52.8,52.8,..,0.2,0.7,0.6,0.6,..,..,..,..,..,..,50.6,54.1,54.1,54.1,54.1,54.1,54.1,..,3.3,5.8,7.3,..,..,5.1,..,..,..,..,..,2.6,2.6,3.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia (Plurinational State of),..,-4,-1.1,8,7.2,-2.2,-4.7,..,..,..,..,..,..,..,..,78.2,..,..,63.2,80,86.7,90.7,90.7,90.7,90.7,90.7,90.7,..,0.8,1,1,1.2,..,..,..,..,58.2,63.1,83.7,86,86,86,86,86,86,4.6,2.3,5.5,..,6.3,..,..,..,..,..,..,..,3.8,3.5,3.4,..,..,..,..,..,..,..,..,..,0.649,..,..,..,..,..,..,..,..,0.672,..,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.9,..,..,..,..,96.7,96.7,96.7,96.7,96.7,96.7,96.7,..,1.2,6,6.5,7,..,..,..,..,..,..,..,69,69,69,69,69,69,..,..,..,..,..,..,..,..,..,..,..,..,5.1,5.2,5.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,..,36.7,48.8,49.3,47.9,30.1,37.2,..,..,..,..,..,..,..,..,52.1,..,..,39.9,68.6,68.6,81.4,82.1,82.9,83.5,84.2,84.8,..,1.6,2.5,2.5,2.6,..,..,..,..,49.6,66.7,70.8,70.6,70.6,70.6,70.6,70.6,70.6,5.5,5.8,..,9.7,..,8.1,..,..,..,..,..,..,5.7,4.5,4.3,..,..,..,..,..,..,..,..,..,0.627,..,..,..,..,..,..,..,..,0.663,..,..
Brazil,..,10.7,4.1,7.6,7.6,7.4,5.2,..,..,..,..,..,..,..,..,75.6,..,..,74.6,74.6,86.4,89.6,89.6,90,90,90,90,..,1.4,1.9,1.9,1.9,..,..,..,..,60.8,66.8,90.2,87.2,87.2,87.2,87.2,87.2,87.2,3.5,4.4,4,4.5,5,5.2,..,..,..,..,..,..,3.3,3.5,3.5,..,..,..,..,..,..,..,..,..,0.596,..,..,..,..,..,..,..,..,0.631,..,..
Brunei Darussalam,..,..,..,-6.4,-1,..,..,..,..,..,..,..,..,..,..,25,..,..,77.8,87.8,92.7,94.2,94.6,94.9,95.1,95.4,95.7,..,25,19.6,15.8,15.5,..,..,..,..,60.7,68.2,74.8,77.7,78.5,77.7,77.7,77.7,77.7,1.2,3.9,3.7,..,..,..,..,..,..,..,..,..,2.1,1.9,1.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,..,4.7,0.5,2.5,-0.5,1.7,2.9,..,..,..,..,..,..,..,..,42.2,..,..,..,..,98.2,98.3,98.3,98.3,98.3,98.3,98.2,..,8.7,5.4,6.1,6.3,..,..,..,..,70,72.6,79,81.9,82.4,82.4,82.4,82.4,82.4,..,5.2,..,4.5,4.2,4.1,..,..,..,..,..,..,4.7,4.1,4.2,..,..,..,..,..,..,..,..,..,0.412,..,..,..,..,..,..,..,..,0.399,..,..
Burkina Faso,..,8.9,-1,3.3,1.4,..,..,..,..,..,..,..,..,..,..,130.9,..,..,8.7,13.6,12.8,23.6,28.7,28.7,28.7,28.7,28.7,..,0.1,0.1,0.1,0.1,..,..,..,..,8.5,16.1,21.6,28.4,30.2,32.8,32.8,32.8,32.8,2,2.4,..,4.5,4.5,4.6,..,..,..,..,..,..,4,3.6,3.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,..,3,-7.6,-7.5,-7.1,..,..,..,..,..,..,..,..,..,..,18.6,..,..,22.5,37.4,59.3,59.3,59.3,59.3,59.3,59.3,59.3,..,0.1,0,0,0,..,..,..,..,11.3,30.9,29.8,37.1,45.1,49,49,49,49,3.4,3.4,3.2,5.1,..,..,7.2,..,..,..,..,..,4,5.1,5.2,..,..,..,..,..,..,..,..,..,0.626,..,..,..,..,..,..,..,..,0.627,..,..
Cambodia,..,..,6.4,7.9,11.3,9.1,..,..,..,..,..,..,..,..,..,39.2,..,..,..,..,67.3,75,75.6,76.3,77,77.7,78.3,..,0,0.2,0.3,0.3,..,..,..,..,49.3,46.6,50.2,59.2,58.7,58.5,58.5,58.5,58.5,..,..,1.7,..,..,1.6,..,..,..,..,..,..,1.5,1.5,1.7,..,..,..,..,..,..,..,..,..,0.641,..,..,..,..,..,..,..,..,0.672,..,..
Cameroon,..,3.2,2.9,5.1,6.3,7.2,..,..,..,..,..,..,..,..,..,127.5,..,..,41.2,41.2,67.9,67.9,67.9,67.9,67.9,67.9,67.9,..,0.1,0.2,0.2,0.2,..,..,..,..,47.7,49.1,45.2,52.3,50.8,52.3,52.3,52.3,52.3,2.6,3.3,1.9,3.1,3.3,3.3,2.9,..,..,..,..,..,1.2,1.2,1.3,..,..,..,..,..,..,..,..,..,0.744,..,..,..,..,..,..,..,..,0.763,..,..
Canada,..,9.9,12.9,10.3,11.5,8.8,7.6,..,..,..,..,..,..,..,..,12.8,..,..,..,..,..,..,..,..,..,..,..,..,16.2,17.5,17.3,16.7,..,..,..,..,80.7,99.6,94.9,99.3,99.3,99.3,99.3,99.3,99.3,6.8,6.2,5.6,4.9,..,4.9,..,..,..,..,..,..,7,7,7.1,..,..,..,..,..,..,..,..,..,0.303,..,..,..,..,..,..,..,..,0.289,..,..
Cape Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.9,..,..,..,62.8,77.1,82.1,83,83.8,84.5,85.3,85.9,..,0.2,0.4,0.6,0.6,..,..,..,..,49,55.5,71.4,66.4,70,68.1,68.1,68.1,68.1,..,3.6,..,..,6,5.7,5.7,..,..,..,..,..,3.5,3.8,3.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,..,-0.8,1.1,-3.3,0.6,-1.6,-4.6,..,..,..,..,..,..,..,..,106.6,..,..,18.2,33.6,48.6,48.6,48.6,48.6,48.6,48.6,48.6,..,0.1,0.1,0.1,0.1,..,..,..,..,33.2,30.2,33.4,28.7,28.6,28.6,28.6,28.6,28.6,3.8,2.2,..,..,1.4,1.3,..,..,..,..,..,..,1.9,1.5,1.4,..,..,..,..,..,..,..,..,..,0.763,..,..,..,..,..,..,..,..,0.768,..,..
Chad,..,-5.3,0.6,-37.1,-30.1,-43.4,-49.9,..,..,..,..,..,..,..,..,164.4,..,..,..,..,25.7,31.8,31.8,31.8,31.8,31.8,31.8,..,0,0,0,0,..,..,..,..,16,26.2,30.9,36.5,36.5,36.5,36.5,36.5,36.5,..,1.6,..,1.9,..,..,..,..,..,..,..,..,1.9,2.6,2.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,..,2.8,5.4,6.6,3.5,4,-0.4,..,..,..,..,..,..,..,..,59.6,..,..,91.1,94.3,95.7,96.3,96.4,96.5,96.7,96.8,96.9,..,2.7,3.9,3.6,3.7,..,..,..,..,68.1,71.3,77.7,82.9,82.5,82.5,82.5,82.5,82.5,4.5,2.4,3.9,3.4,3.2,3.4,..,..,..,..,..,..,3.5,3.4,3.7,..,..,..,..,..,..,..,..,..,0.537,..,..,..,..,..,..,..,..,0.505,..,..
China,..,20,23.7,36.3,38.5,38.1,35.1,..,..,..,..,..,..,..,..,9.7,..,..,65.5,77.8,90.9,92.6,93,93.3,93.6,93.9,94.2,..,2.1,2.7,4.3,4.6,..,..,..,..,58.3,53.6,67,68.5,68.7,68.7,68.7,68.7,68.7,2.5,2.3,..,..,..,..,..,..,..,..,..,..,1.8,1.9,1.9,..,..,..,..,..,..,..,..,..,0.393,..,..,..,..,..,..,..,..,0.405,..,..
Colombia,..,6.7,-1,4,5.4,3.9,1.5,..,..,..,..,..,..,..,..,74.3,..,..,80.8,80.8,91.2,92.8,92.3,92.7,92.7,92.7,92.7,..,1.6,1.4,1.3,1.4,..,..,..,..,54.7,57.3,70.7,76.1,77.8,79,79,79,79,1.9,2.4,3.7,4,3.9,4.1,3.9,..,..,..,..,..,5.3,5.2,5.1,..,..,..,..,..,..,..,..,..,0.636,..,..,..,..,..,..,..,..,0.658,..,..
Comoros,..,9.3,4.9,2,1.1,5,7,..,..,..,..,..,..,..,..,45.7,..,..,47.9,58.7,68.8,73.3,74.2,75.1,75.9,76.7,77.5,..,0.1,0.1,0.1,0.1,..,..,..,..,44.8,37.7,41.4,46.4,46.4,46.4,46.4,46.4,46.4,..,..,..,..,..,..,7.6,..,..,..,..,..,1.7,1.8,1.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Congo,..,-36.3,-40.8,-59.2,-82.9,-58.2,-57.1,..,..,..,..,..,..,..,..,112.8,..,..,..,59.6,59.6,80.9,81,81.1,81.1,81.1,81.1,..,0.5,0.3,0.4,0.4,..,..,..,..,..,66.5,46.4,58.6,58.6,58.6,58.6,58.6,58.6,6.4,5,2.5,1.8,..,..,..,..,..,..,..,..,1.4,1.5,1.7,..,..,..,..,..,..,..,..,..,0.734,..,..,..,..,..,..,..,..,0.744,..,..
Congo (Democratic Republic of the),..,-13.5,-12.5,-3.5,-7.3,0.7,-2.5,..,..,..,..,..,..,..,..,201.4,..,..,..,..,67.2,67.2,67.2,67.2,67.2,67.2,67.2,..,0.1,0,0,0,..,..,..,..,48.2,38.5,26.8,33.4,33.4,48.2,48.2,48.2,48.2,..,..,..,..,..,..,..,..,..,..,..,..,1.2,1.2,1.2,..,..,..,..,..,..,..,..,..,0.802,..,..,..,..,..,..,..,..,0.814,..,..
Costa Rica,..,10,11.5,14.1,16.5,16.8,9.1,..,..,..,..,..,..,..,..,67,..,..,88.4,92.6,94.9,95.7,95.8,95.9,96.1,96.2,96.3,..,1,1.4,1.7,1.8,..,..,..,..,61.1,64.7,66.1,73,73,73,73,73,73,7.4,3.4,4.4,..,4.7,4.7,5,..,..,..,..,..,5,5.3,5.9,..,..,..,..,..,..,..,..,..,0.526,..,..,..,..,..,..,..,..,0.501,..,..
Croatia,..,..,3.9,11.3,11.7,11.8,11.3,..,..,..,..,..,..,..,..,14.1,..,..,..,96.7,98.1,98.6,98.6,98.7,98.8,98.8,98.9,..,3.7,4.5,5.2,5.2,..,..,..,..,71,65.3,70,76.7,77.2,77.2,77.2,77.2,77.2,..,7.2,..,..,..,..,..,..,..,..,..,..,6.1,6.2,6.6,..,..,..,..,..,..,..,..,..,0.37,..,..,..,..,..,..,..,..,0.345,..,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.2,..,..,97.8,97.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,..,3.1,2.3,2.2,2.6,..,..,..,..,75,69.3,76.2,87.5,94.8,100.8,100.8,100.8,100.8,..,8.9,7.2,9.8,9.1,11.9,13.6,..,..,..,..,..,8.7,7.1,9.9,..,..,..,..,..,..,..,..,..,0.484,..,..,..,..,..,..,..,..,0.473,..,..
Cyprus,..,20.8,12.8,13.3,6.3,2.8,-2.8,..,..,..,..,..,..,..,..,6.1,..,..,..,94.4,99.1,97.4,97.6,97.7,97.9,98,98.2,..,6.8,8.7,9,9.2,..,..,..,..,66.3,62.4,73.3,77.6,77.6,77.6,77.6,77.6,77.6,3.6,3.5,5.3,6.3,7,7.1,..,..,..,..,..,..,2.7,2.8,3,..,..,..,..,..,..,..,..,..,0.284,..,..,..,..,..,..,..,..,0.284,..,..
Czech Republic,..,..,6.5,9.3,10.4,10.9,13.4,..,..,..,..,..,..,..,..,10.6,..,..,..,..,..,..,..,..,..,..,..,..,12.7,11.5,11.3,11.3,..,..,..,..,..,71.7,74.1,82.7,83.4,83.4,83.4,83.4,83.4,..,4.4,4,4.3,4.6,..,..,..,..,..,..,..,6.3,6.1,5.8,..,..,..,..,..,..,..,..,..,0.33,..,..,..,..,..,..,..,..,0.33,..,..
CÙte d'Ivoire,..,-11.2,5.4,1.3,1.7,-0.6,1.7,..,..,..,..,..,..,..,..,129.9,..,..,..,34.1,48.7,48.7,48.7,48.7,48.7,48.7,48.7,..,0.5,0.4,0.4,0.4,..,..,..,..,38.9,37.7,37,37.5,37.5,37.5,37.5,37.5,37.5,6.9,6.8,4.6,..,..,..,4.6,..,..,..,..,..,0.9,0.9,1,..,..,..,..,..,..,..,..,..,0.744,..,..,..,..,..,..,..,..,0.765,..,..
Denmark,..,12.4,13.2,13.6,13.5,11.8,13.8,..,..,..,..,..,..,..,..,6,..,..,..,..,..,..,..,..,..,..,..,..,9.8,8.8,8.6,9.9,..,..,..,..,79.6,81.4,96,102.8,101.3,101.3,101.3,101.3,101.3,6.4,6.7,8.3,8.3,7.9,..,..,..,..,..,..,..,7.9,8.1,8.2,..,..,..,..,..,..,..,..,..,0.209,..,..,..,..,..,..,..,..,0.209,..,..
Djibouti,..,..,-2.5,20.4,23.9,28.2,..,..,..,..,..,..,..,..,..,23,..,..,..,..,..,..,..,..,..,..,..,..,0.7,0.6,0.6,0.6,..,..,..,..,19.5,17.5,18,24.8,25.5,25.5,25.5,25.5,25.5,..,3.3,9.7,8.4,8.4,8.7,..,..,..,..,..,..,4.9,4.8,5.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88,88,88,88,88,88,..,0.9,1.5,1.7,1.7,..,..,..,..,..,..,74.8,80.5,78.5,78.5,78.5,78.5,78.5,..,5.3,..,..,..,4.1,4.8,..,..,..,..,..,3.7,3.7,3.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,..,9.3,8.3,3.9,5,1.1,-0.3,..,..,..,..,..,..,..,..,108.7,..,..,73.1,73.1,87,88.5,88.8,89.1,89.5,89.8,90.1,..,1.3,2.3,2.1,2.1,..,..,..,..,64,62.5,71.4,73.5,73.5,73.5,73.5,73.5,73.5,2.1,1.3,1.9,..,..,2.2,..,..,..,..,..,..,1.7,2.1,1.9,..,..,..,..,..,..,..,..,..,0.625,..,..,..,..,..,..,..,..,0.646,..,..
Ecuador,..,-23.1,2.4,0.1,-0.2,0.4,0.4,..,..,..,..,..,..,..,..,82.8,..,..,83.6,88.3,91,91,91,91,91,91,91,..,1.6,1.7,2.3,2.4,..,..,..,..,75.1,70.2,..,..,..,..,..,..,..,..,2.9,1.3,..,..,..,..,..,..,..,..,..,2.1,2.3,2.3,..,..,..,..,..,..,..,..,..,0.624,..,..,..,..,..,..,..,..,0.645,..,..
