words,average occurrences,english corpus occurrences,10/23/2012 0:00 - 6:00,10/23/2012 6:00 - 12:00,10/23/2012 12:00 - 18:00,10/23/2012 18:00 - 24:00,10/24/2012 0:00 - 6:00,10/24/2012 6:00 - 12:00,10/24/2012 12:00 - 18:00,10/24/2012 18:00 - 24:00,10/25/2012 0:00 - 6:00,10/25/2012 6:00 - 12:00,10/25/2012 12:00 - 18:00,10/25/2012 18:00 - 24:00,10/26/2012 0:00 - 6:00,10/26/2012 6:00 - 12:00,10/26/2012 12:00 - 18:00,10/26/2012 18:00 - 24:00,10/27/2012 0:00 - 6:00,10/27/2012 6:00 - 12:00,10/27/2012 12:00 - 18:00,10/27/2012 18:00 - 24:00,10/28/2012 0:00 - 6:00,10/28/2012 6:00 - 12:00,10/28/2012 12:00 - 18:00,10/28/2012 18:00 - 24:00,10/29/2012 0:00 - 6:00,10/29/2012 6:00 - 12:00,10/29/2012 12:00 - 18:00,10/29/2012 18:00 - 24:00,10/30/2012 0:00 - 6:00,10/30/2012 6:00 - 12:00,10/30/2012 12:00 - 18:00,10/30/2012 18:00 - 24:00,10/31/2012 0:00 - 6:00,10/31/2012 6:00 - 12:00,10/31/2012 12:00 - 18:00,10/31/2012 18:00 - 24:00,11/1/2012 0:00 - 6:00,11/1/2012 6:00 - 12:00,11/1/2012 12:00 - 18:00,11/1/2012 18:00 - 24:00,11/2/2012 0:00 - 6:00,11/2/2012 6:00 - 12:00,11/2/2012 12:00 - 18:00,11/2/2012 18:00 - 24:00,11/3/2012 0:00 - 6:00,11/3/2012 6:00 - 12:00,11/3/2012 12:00 - 18:00,11/3/2012 18:00 - 24:00,11/4/2012 0:00 - 6:00,11/4/2012 6:00 - 12:00,11/4/2012 12:00 - 18:00,11/4/2012 18:00 - 24:00,11/5/2012 0:00 - 6:00,11/5/2012 6:00 - 12:00,11/5/2012 12:00 - 18:00,11/5/2012 18:00 - 24:00,11/6/2012 0:00 - 6:00,11/6/2012 6:00 - 12:00,11/6/2012 12:00 - 18:00,11/6/2012 18:00 - 24:00,11/7/2012 0:00 - 6:00,11/7/2012 6:00 - 12:00,11/7/2012 12:00 - 18:00,11/7/2012 18:00 - 24:00
mitt,7.234375,30,0,0,23,0,0,25,60,26,37,0,0,0,0,0,0,0,0,0,0,0,38,0,27,0,0,0,0,0,25,0,0,0,22,0,0,30,28,30,0,33,34,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
tomorrow,6.953125,8254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,110,158,72,0,0,0,0,0,0,0
support,6.84375,1942,0,0,0,30,0,0,0,41,24,0,0,27,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,37,53,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,41,35,0,0,0,0,0,0,0,0,0,0,0
realdonaldtrump,6.484375,30,0,0,0,0,0,0,88,28,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,67,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,30,0,0,0,0,27,0,0,0,0,0,0,0,0,32,30,0
one,6.453125,84057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,120,69,42,0,0,39,21,0,27,0,0,42,0,0,0,0,0,0,0,0,29,0
fema,6.4375,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,42,31,44,32,50,51,37,35,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
years,5.796875,13526,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,51,0,0,0,0,0,25,0,0,0,29,0,0,0,0,0,0,67,40,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
real,5.75,13161,0,0,0,0,0,0,0,0,0,49,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,103,34,50,0,0,0,0,0,0
up,5.640625,103826,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,26,34,36,31,25,28,0,31,26,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,27,0,0,0,0
relief,5.21875,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,49,23,143,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cantafford4more,5.203125,30,55,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,24,0,0,0,26,0,0,29,39,0,0,0,0,67,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robdelaney,5.09375,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,38,42,0,0,94,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,48,0,0,0,0,0,0,0
show,5.0625,12392,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,47,53,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,56,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
big,5.046875,19520,0,0,0,0,0,0,0,0,0,0,0,93,32,45,43,66,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://t.co/uYh0QcDS,5.03125,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,92,31,34,111,0,0,0,0,0
know,5,241548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,56,0,41,0,0,0,0,0,0,0,0,0,0,0,0,37,31,0,0,0,32,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
love,4.90625,42994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,121,67,41,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back,4.578125,63115,0,0,0,0,0,60,0,34,29,0,0,0,0,0,0,0,0,0,0,32,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,34,0,0,59,0,0,0,0,0,0
new,4.53125,18860,0,0,0,0,0,21,0,0,0,0,22,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,30,36,0,0,43,0,0,0,49,0,0,0,32,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best,4.4375,14094,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,71,35,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
